codigo_consejera,nombre_consejera,codigo_zona,monto_facturado,monto_cod,nombre,descripcion,cantidad,cajas,descripcion_razon,direccion1,direccion2,codigo_razon,codigo_piloto,razon,liquidada,seccion,direccion3,telefono_consejera,enrutado,los_real,credit_check,los,monto_extrafin,monto_convenio_pago,monto_vea,telefono_celular,valor_aj,clave
14207,Fiona,202,1280,16,Heidi,Ava,22,45,Sharon,"P.O. Box 194, 8023 Quis Avenue",331-5649 Iaculis St.,14,92,5,Macy,45,"P.O. Box 998, 5322 Lobortis. St.",2652-1112,59,49,7,10,4,9,6,6245-3097,5,
152380,Blythe,202,1085,38,Rowan,Ryan,20,6,Buffy,2192 Morbi Avenue,"Ap #937-9304 Id, Avenue",71,7,98,Chava,36,"P.O. Box 416, 8175 Habitant St.",9485-7533,54,11,3,9,1,4,5,8453-9837,5,
48715,Cally,202,1174,91,Branden,Erica,65,44,Julie,"P.O. Box 348, 8597 Lacus. St.",527-3095 Nisl. Street,6,26,69,Gisela,79,381-4869 Mus. Av.,1212-8206,7,54,8,6,8,7,7,6757-5370,1,
62067,Karen,202,942,34,Britanni,Rhona,6,69,Courtney,"P.O. Box 944, 6251 Mollis St.","P.O. Box 485, 3961 Lacinia Road",90,58,58,Ocean,37,"P.O. Box 168, 9934 Donec Rd.",8061-1973,95,8,4,5,3,2,10,4294-6273,7,
59090,Inez,202,1651,50,Deanna,Inez,89,53,Leilani,127-8638 Id Street,"P.O. Box 138, 9953 Vel Avenue",29,49,31,Hayes,58,"P.O. Box 463, 5543 Ultrices Avenue",3115-6099,72,69,5,5,6,9,5,6128-9356,9,
91942,Kimberley,202,1368,56,Colette,Hamish,37,66,Marsden,Ap #252-5369 Duis Avenue,"807-8092 Vulputate, St.",52,36,21,Brynn,73,"P.O. Box 920, 3989 Egestas. Rd.",2959-2816,25,10,5,2,9,5,8,7444-0422,1,
151288,Kristen,202,1862,87,Octavius,Dakota,20,84,Kitra,"P.O. Box 571, 336 At, Rd.",4357 Enim Street,79,54,57,Aimee,99,3436 Interdum Road,5830-2299,70,85,2,4,10,7,5,5593-8613,6,
181320,Cally,202,588,42,Mariam,Geraldine,35,88,Brielle,5164 Elit Rd.,Ap #880-2366 Lobortis Avenue,2,89,76,Germaine,51,Ap #830-6180 Ac Avenue,5195-0807,3,48,4,10,1,6,6,4991-2683,1,
166824,Lila,202,1279,86,Kiona,Elmo,49,31,Felicia,"P.O. Box 924, 1104 Velit Road",689-5597 Cursus. Avenue,96,83,80,Channing,45,8391 Id Rd.,5442-0383,67,54,1,3,5,9,8,4907-4640,10,
128533,Priscilla,202,1595,98,Price,Erasmus,66,77,Sierra,257-4208 Tellus Av.,Ap #505-6079 Ut Rd.,57,46,87,Walter,13,846-5586 Netus Rd.,5785-2695,23,7,7,8,6,10,9,9939-3012,10,
171818,Sonia,202,885,2,Leilani,Aquila,100,48,Zephr,"P.O. Box 705, 6875 Fermentum Rd.","7561 Ut, Road",32,52,68,Desiree,66,567-1741 Velit. Road,4074-9140,91,72,6,3,6,2,8,6671-5193,1,
142454,Astra,202,1877,70,Charissa,Kennedy,21,78,Edan,"P.O. Box 815, 6174 Nunc Ave",439-165 Eros. Ave,37,98,3,Dai,44,"P.O. Box 821, 1518 Nulla Ave",1221-6683,96,32,2,1,4,7,7,4600-0259,4,
149330,Aubrey,202,1794,98,Austin,Isaac,24,98,Pascale,"P.O. Box 346, 6984 Vestibulum St.",Ap #617-6327 Fringilla. Avenue,74,98,47,Alden,14,2974 Dui St.,6197-4584,67,30,5,5,9,4,4,5821-4799,3,
174026,Maxine,202,1502,32,Maia,Uta,16,90,Hiram,"P.O. Box 556, 7558 Sem Rd.",5504 Placerat St.,99,34,44,Briar,89,"P.O. Box 167, 2130 Eu Ave",6349-7171,37,66,7,10,8,4,9,7212-2028,10,
187262,Xerxes,202,1073,91,Buffy,Arthur,30,14,Chandler,"Ap #316-3719 Lorem, Avenue","P.O. Box 981, 388 Molestie Av.",36,8,28,Ralph,64,Ap #905-645 Convallis Street,9249-0832,27,9,5,8,1,4,3,9939-7139,4,
84606,Regan,202,1205,83,Barbara,Ulysses,79,18,Carol,713-7796 Ultrices. St.,539-8557 Fringilla Road,88,38,98,Keegan,96,415-7064 Donec Rd.,2433-6806,58,95,4,9,6,7,6,8404-1328,3,
67367,Laurel,202,949,25,Julian,Yoshio,53,28,Marah,"P.O. Box 536, 216 Mi Rd.",744-737 Arcu. Rd.,6,2,97,Kimberly,43,9581 Libero. Road,2461-5257,8,23,1,1,2,2,2,2764-9303,4,
32531,Athena,202,1530,78,Ryan,Velma,80,41,Zeph,295-137 Turpis St.,"P.O. Box 301, 157 Nunc, Av.",60,13,46,Graiden,85,480-598 Arcu. St.,4974-2458,93,91,4,5,3,8,8,2831-5632,1,
166360,Beatrice,202,728,10,Byron,Hedwig,9,43,Madaline,894-1159 Orci St.,5700 Enim. Av.,8,56,57,Cheyenne,53,"P.O. Box 357, 2764 Arcu Rd.",5936-6273,50,86,10,7,5,2,9,4556-9099,1,
180231,Leah,202,281,81,Oren,Oscar,44,44,Michelle,919-2737 Mollis. St.,"P.O. Box 948, 4743 Mi Road",46,99,90,Katelyn,1,"990-8203 Vitae, Street",6880-6912,84,19,8,8,8,7,3,4636-3303,8,
140977,Basia,202,827,11,Elaine,Nevada,31,100,Maisie,Ap #741-3577 Dui. Road,549-1496 Laoreet St.,60,75,65,Rina,49,"P.O. Box 345, 7330 In, St.",4182-4913,70,15,8,1,6,2,2,3456-2546,8,
70078,Gloria,202,1548,93,Gail,Clarke,23,78,Luke,996-8355 A St.,116-9388 Nascetur Street,65,48,52,Cheyenne,90,5292 Quis St.,1410-7767,18,61,5,10,2,2,4,9419-5665,9,
170511,Leslie,202,322,37,Yardley,Buckminster,71,4,Blaine,Ap #862-2729 Pede. Street,905-5780 Fusce Street,38,99,49,Kaden,90,"P.O. Box 751, 4305 Non Avenue",1988-7520,21,71,5,6,4,3,6,1630-4703,8,
32876,Ariana,202,1721,35,Whilemina,Lisandra,82,78,Nicole,415-6759 Netus Rd.,"Ap #128-7610 Eget, St.",23,32,6,Orlando,86,"P.O. Box 801, 1332 Integer Rd.",5910-2260,15,52,6,2,5,4,6,3705-9430,2,
184331,Mikayla,202,652,4,Alexandra,Griffith,36,4,Evelyn,"P.O. Box 430, 1388 Diam Avenue",412-3339 Ligula. Road,3,89,17,Darryl,71,"P.O. Box 945, 5726 Sit St.",9031-5164,12,30,8,3,3,10,1,2461-0354,6,
164531,Delilah,202,762,8,Garrison,Thomas,7,91,Yoko,Ap #334-8705 Iaculis Avenue,"P.O. Box 141, 3070 Velit Rd.",15,77,96,Norman,6,301-5572 Eros Avenue,9826-4175,22,50,6,2,5,4,3,4834-8490,4,
14409,Whoopi,202,781,59,Igor,Dacey,31,41,Tallulah,Ap #232-5482 Arcu St.,144-1459 Bibendum. Rd.,93,57,99,Joelle,2,"742-1591 Elementum, Av.",9032-3852,93,55,5,8,1,10,8,1279-8240,2,
129905,Quincy,202,1471,94,Cheryl,Sawyer,77,42,India,"P.O. Box 932, 7954 Ornare, Rd.",468-5742 Tellus. St.,69,50,66,Camden,75,9942 Quam Road,9544-4903,57,5,5,10,6,8,2,4509-1383,9,
187055,Allegra,202,1283,1,Raven,Brenden,99,59,Tamekah,647-629 Vivamus Ave,814 Justo Av.,64,43,2,Stella,100,5422 Consequat Street,8239-7716,42,24,9,4,2,1,1,1784-2570,7,
60746,Althea,202,1830,54,Jack,Raphael,45,39,Dolan,"P.O. Box 543, 1169 Mus. Rd.",3109 Aliquam St.,63,77,29,Astra,33,956-9065 Nibh Street,2965-0112,91,41,10,2,6,4,3,5763-8196,2,
71992,Mariam,202,1487,5,Aspen,Wing,2,82,Kim,4235 Urna Street,"P.O. Box 319, 4215 Aenean Rd.",29,25,69,Leah,24,Ap #990-8386 Velit. Av.,6070-2484,61,70,4,6,1,10,8,1625-6763,1,
68713,Quinn,202,597,31,Abbot,Aileen,40,10,Dora,6791 Molestie Road,9254 Pede. Rd.,67,35,45,Lucian,57,5592 Ac St.,4588-7963,9,76,10,9,5,5,10,1804-8031,7,
140368,Claire,202,1811,84,Yvonne,Tad,27,75,Veronica,7123 Sociis Rd.,231-6567 Eros St.,12,92,43,Lev,37,"P.O. Box 985, 1607 Mi Street",3390-1447,17,58,2,4,9,9,9,5826-3580,9,
37892,Eleanor,202,232,47,Jerry,Jamal,75,51,Quemby,"P.O. Box 973, 507 Ultrices. Ave",550-1778 Massa. St.,37,51,1,Arsenio,14,682-2410 Donec Rd.,6031-7310,36,39,4,3,2,1,8,3639-5777,9,
97380,Bethany,202,404,74,Kane,Isadora,11,76,Fredericka,"8230 Ut, St.",3981 Ligula. Street,67,8,48,Elijah,7,8320 Orci. Rd.,2221-2867,2,57,5,2,1,4,1,5497-3521,6,
72077,Sharon,202,1436,2,Alika,Portia,39,88,Laurel,Ap #386-2207 Cum Street,9850 Egestas Ave,97,13,39,Damon,35,209-1041 Mollis Ave,7723-9108,49,78,7,10,3,6,5,5124-8160,5,
118819,Hiroko,202,1561,39,Thane,Lionel,42,10,Delilah,"633-7036 Amet, Av.",8346 Aliquam Ave,54,88,46,Hedwig,37,2949 Commodo Rd.,4799-7362,88,41,6,6,8,5,8,5160-4207,6,
44629,Aileen,202,1300,90,Alfreda,Keegan,1,95,Aretha,Ap #841-1361 Fringilla Rd.,"P.O. Box 316, 4186 Phasellus St.",7,96,5,Britanni,89,763-6989 Ipsum. Rd.,7138-4302,74,54,1,6,6,6,7,9592-3513,9,
55362,Ori,202,1154,78,Jeanette,Herrod,55,58,Justine,2179 Elementum Avenue,"P.O. Box 675, 107 Facilisis St.",83,88,77,Adam,61,336-9329 Nec Rd.,9849-7071,66,47,2,5,2,10,3,8668-8542,9,
161649,Haviva,202,1317,19,Aspen,Chandler,22,75,Ethan,208-9630 Tristique Rd.,7124 Et St.,1,31,82,Isaac,77,9889 Aliquet Avenue,5288-5038,9,57,4,5,1,6,9,3388-9517,3,
